Time (seconds)	Service
52.196s	networking.service
25.077s	dev-mmcblk0p1.device
19.814s	orov-sysdetect.service
4.243s	loadcpufreq.service
2.706s	ofono.service
2.156s	dnsmasq.service
2.087s	systemd-logind.service
1.997s	systemd-udev-trigger.service
1.855s	capemgr.service
1.691s	pppd-dns.service
1.300s	bb-wl18xx-tether.service
1.293s	avahi-daemon.service
1.254s	hostapd.service
1.174s	rc-local.service
1.109s	connman.service
1.044s	prepare-dirs.service
1.011s	systemd-user-sessions.service
927ms	systemd-journald.service
655ms	cpufrequtils.service
654ms	wetty.service
607ms	var-swapfile.swap
599ms	wpa_supplicant.service
579ms	hdparm.service
568ms	systemd-udevd.service
446ms	dev-mqueue.mount
424ms	kmod-static-nodes.service
388ms	systemd-tmpfiles-setup.service
367ms	nginx.service
356ms	systemd-fsck-root.service
341ms	systemd-random-seed.service
340ms	systemd-sysctl.service
339ms	sys-kernel-config.mount
322ms	systemd-timesyncd.service
286ms	systemd-update-utmp.service
271ms	sys-kernel-debug.mount
252ms	systemd-journal-flush.service
244ms	bb-wl18xx-bluetooth.service
218ms	systemd-modules-load.service
209ms	systemd-remount-fs.service
203ms	sys-fs-fuse-connections.mount
195ms	systemd-tmpfiles-setup-dev.service
164ms	systemd-update-utmp-runlevel.service
161ms	bluetooth.service
105ms	systemd-tmpfiles-clean.service
